Name,Email,Age,"Feeling nervous, anxious or on edge",Not being able to stop or control worrying,Worrying too much about different things,Trouble relaxing,Being so restless that it is hard to sit still,Becoming easily annoyed or irritable,Feeling afraid as if something awful might happen,Feeling tired or having little energy,Poor appetite or overeating,Feeling bad about yourself—or that you are a failure,Trouble concentrating on things,Moving or speaking so slowly that other people could have noticed,Thoughts that you would be better off dead or of hurting yourself in some way,Anxiety_Score,Stress_Score,Anxiety_Level,Stress_Level
Richard Herman,amywalker@example.org,21,Several days,Not at all,More than half the days,Not at all,Not at all,Not at all,Not at all,Nearly every day,Nearly every day,Not at all,Several days,Nearly every day,More than half the days,3,2,Low,Low
John Park,lindsey60@example.org,17,Not at all,Several days,Several days,Several days,Not at all,Not at all,Not at all,Nearly every day,Not at all,Not at all,Not at all,Not at all,More than half the days,3,1,Low,Low
Roy Allen,brittany63@example.org,17,Not at all,Not at all,Nearly every day,Not at all,Several days,Not at all,Not at all,Several days,Nearly every day,Not at all,Nearly every day,Nearly every day,More than half the days,4,1,Low,Low
Donna Henderson,jorgeharris@example.com,19,Nearly every day,Not at all,Not at all,Several days,Several days,Not at all,Not at all,More than half the days,Nearly every day,Not at all,More than half the days,More than half the days,Not at all,5,0,Low,Low
Mason Carter,jnunez@example.net,20,Several days,More than half the days,Several days,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,More than half the days,Nearly every day,Nearly every day,Several days,4,2,Low,Low
Charles Watts,tyler36@example.net,21,Several days,Several days,Nearly every day,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Several days,Several days,Not at all,Nearly every day,5,2,Low,Low
Keith Browning,scottvega@example.net,20,Not at all,Several days,Not at all,Several days,More than half the days,Several days,Not at all,Nearly every day,Nearly every day,Nearly every day,Nearly every day,More than half the days,More than half the days,5,1,Low,Low
Antonio Hawkins,randall31@example.net,21,Not at all,Not at all,More than half the days,More than half the days,Several days,Not at all,Not at all,Nearly every day,Several days,Nearly every day,More than half the days,Not at all,Several days,5,1,Low,Low
Robin Evans,marksjoshua@example.com,20,More than half the days,Several days,Not at all,More than half the days,Not at all,Not at all,Not at all,More than half the days,Nearly every day,More than half the days,Not at all,Nearly every day,More than half the days,5,5,Low,Low
Kimberly Luna,conniefleming@example.net,20,Several days,Not at all,Not at all,Not at all,More than half the days,Not at all,Not at all,More than half the days,Nearly every day,Not at all,Not at all,More than half the days,Several days,3,3,Low,Low
Ashley Thomas,williamsleah@example.com,20,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,More than half the days,Several days,Nearly every day,Not at all,More than half the days,1,0,Low,Low
Regina Drake,karen87@example.net,17,Several days,Not at all,Not at all,Several days,Not at all,Nearly every day,Not at all,Several days,Nearly every day,Nearly every day,Nearly every day,More than half the days,More than half the days,5,3,Low,Low
Thomas Nelson,vgordon@example.net,21,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,Several days,Several days,More than half the days,Nearly every day,Not at all,0,4,Low,Low
Melanie Erickson,ronald18@example.net,20,Not at all,Not at all,Several days,Not at all,Not at all,More than half the days,Several days,Several days,Nearly every day,Not at all,More than half the days,Several days,Nearly every day,4,0,Low,Low
Matthew Wright,lopezmarco@example.org,17,Several days,More than half the days,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,More than half the days,More than half the days,Not at all,More than half the days,Not at all,3,1,Low,Low
